Time,Open,High,Low,Close,Volume
2019.05.10 23:40:00,1285.95,1285.96,1285.6,1285.65,71
2019.05.10 23:30:00,1285.85,1286.05,1285.82,1285.91,71
2019.05.10 23:20:00,1285.75,1285.87,1285.67,1285.85,58
2019.05.10 23:10:00,1285.64,1285.77,1285.63,1285.75,62
2019.05.10 23:00:00,1285.93,1286.04,1285.53,1285.64,120
2019.05.10 22:50:00,1286.34,1286.57,1285.91,1285.94,162
2019.05.10 22:40:00,1286.07,1286.51,1286.07,1286.34,249
2019.05.10 22:30:00,1285.52,1286.31,1285.51,1286.02,340
2019.05.10 22:20:00,1285.19,1285.61,1285.17,1285.52,407
2019.05.10 22:10:00,1286.18,1286.35,1284.96,1285.22,372
2019.05.10 22:00:00,1285.92,1286.49,1285.86,1286.11,226
2019.05.10 21:50:00,1285.8,1286.19,1285.69,1285.91,252
2019.05.10 21:40:00,1285.93,1286.1,1285.7,1285.74,274
2019.05.10 21:30:00,1286.51,1286.6,1285.89,1285.97,210
2019.05.10 21:20:00,1286.37,1286.65,1286.29,1286.52,184
2019.05.10 21:10:00,1286.63,1286.7,1286.29,1286.39,354
2019.05.10 21:00:00,1286.71,1286.97,1286.49,1286.6,351
2019.05.10 20:50:00,1286.49,1286.91,1286.17,1286.71,331
2019.05.10 20:40:00,1286.98,1287.27,1286.29,1286.44,396
2019.05.10 20:30:00,1286.51,1287.02,1286.41,1286.99,391
2019.05.10 20:20:00,1286.89,1286.89,1285.87,1286.51,1075
2019.05.10 20:10:00,1287.89,1288.27,1286.86,1286.88,383
2019.05.10 20:00:00,1287.91,1288.09,1287.59,1287.9,273
2019.05.10 19:50:00,1287.69,1287.98,1287.18,1287.96,335
2019.05.10 19:40:00,1287.27,1287.71,1287.18,1287.68,323
2019.05.10 19:30:00,1286.99,1287.47,1286.7,1287.27,570
2019.05.10 19:20:00,1287.21,1287.5,1286.8,1286.98,456
2019.05.10 19:10:00,1287.77,1287.9,1286.9,1287.2,463
2019.05.10 19:00:00,1288.57,1288.86,1287.67,1287.77,396
2019.05.10 18:50:00,1289.13,1289.37,1288.01,1288.57,812
2019.05.10 18:40:00,1287.48,1289.13,1287.47,1289.13,554
2019.05.10 18:30:00,1287.43,1288.12,1287.33,1287.48,526
2019.05.10 18:20:00,1286.73,1287.5,1286.33,1287.45,601
2019.05.10 18:10:00,1287.01,1287.43,1286.71,1286.71,316
2019.05.10 18:00:00,1287.66,1287.91,1286.61,1287.01,579
2019.05.10 17:50:00,1287.68,1287.89,1286.4,1287.66,678
2019.05.10 17:40:00,1288.07,1289.37,1287.37,1287.68,677
2019.05.10 17:30:00,1286,1288.17,1286,1288.07,433
2019.05.10 17:20:00,1286.13,1286.46,1285.51,1286,352
2019.05.10 17:10:00,1286.9,1287,1286,1286.13,489
2019.05.10 17:00:00,1286.39,1287.19,1286.29,1286.9,537
2019.05.10 16:50:00,1285.61,1286.58,1285.58,1286.39,479
2019.05.10 16:40:00,1286.36,1286.81,1285.53,1285.7,682
2019.05.10 16:30:00,1285.97,1286.3,1285.27,1286.28,1069
2019.05.10 16:20:00,1286.14,1286.76,1285.94,1285.97,580
2019.05.10 16:10:00,1285.99,1286.96,1285.21,1286.14,757
2019.05.10 16:00:00,1288.28,1288.3,1285.83,1285.94,1027
2019.05.10 15:50:00,1286.51,1288.71,1286.42,1288.28,644
2019.05.10 15:40:00,1287.64,1288.54,1286.53,1286.53,701
2019.05.10 15:30:00,1285.87,1288.18,1285.67,1287.64,1334
2019.05.10 15:20:00,1285.19,1286.25,1284.9,1285.87,334
2019.05.10 15:10:00,1285,1285.23,1284.29,1285.1,482
2019.05.10 15:00:00,1285.63,1285.97,1284.93,1285.04,622
2019.05.10 14:50:00,1285.99,1286.29,1284.95,1285.64,435
2019.05.10 14:40:00,1286.04,1286.06,1285.77,1285.96,325
2019.05.10 14:30:00,1285.49,1286.19,1285.3,1286.04,365
2019.05.10 14:20:00,1285.21,1285.72,1285.01,1285.49,258
2019.05.10 14:10:00,1285.4,1285.54,1285.1,1285.22,208
2019.05.10 14:00:00,1285.88,1285.9,1285.32,1285.4,362
2019.05.10 13:50:00,1285.5,1286,1285.31,1285.82,379
2019.05.10 13:40:00,1285.41,1285.57,1285.32,1285.48,205
2019.05.10 13:30:00,1285.71,1285.73,1285.14,1285.41,174
2019.05.10 13:20:00,1285.74,1285.78,1285.37,1285.71,113
2019.05.10 13:10:00,1285.11,1285.74,1285.02,1285.74,130
2019.05.10 13:00:00,1285.31,1285.31,1284.81,1285.11,219
